,bench-id,bench-name,job-space-id,job-space-path
0,4176377,KRS127+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
1,4176378,KRS128+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
2,4176379,KRS129+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
3,4176380,KRS130+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
4,4176381,KRS131+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
5,4176382,KRS132+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
6,4176383,KRS133+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
7,4176384,KRS134+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
8,4176385,KRS135+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
9,4176386,KRS136+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
10,4176387,KRS137+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
11,4176388,KRS138+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
12,4176389,KRS139+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
13,4176390,KRS140+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
14,4176391,KRS141+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
15,4176392,KRS142+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
16,4176393,KRS143+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
17,4176394,KRS144+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
18,4176395,KRS145+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
19,4176396,KRS146+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
20,4176397,KRS147+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
21,4176398,KRS148+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
22,4176399,KRS149+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
23,4176400,KRS150+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
24,4176401,KRS151+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
25,4176402,KRS152+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
26,4176403,KRS153+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
27,4176404,KRS154+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
28,4176405,KRS155+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
29,4176406,KRS156+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
30,4176407,KRS157+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
31,4176408,KRS158+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
32,4176409,KRS159+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
33,4176410,KRS160+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
34,4176411,KRS161+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
35,4176412,KRS162+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
36,4176413,KRS163+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
37,4176414,KRS164+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
38,4176415,KRS165+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
39,4176416,KRS166+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
40,4176417,KRS167+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
41,4176418,KRS168+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
42,4176419,KRS169+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
43,4176420,KRS170+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
44,4176421,KRS171+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
45,4176422,KRS172+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
46,4176423,KRS173+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
47,4176424,KRS174+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
48,4176425,KRS175+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
49,4176426,KRS176+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
50,4176427,KRS177+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
51,4176428,KRS178+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
52,4176429,KRS179+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
53,4176430,KRS180+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
54,4176431,KRS181+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
55,4176432,KRS182+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
56,4176433,KRS183+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
57,4176434,KRS184+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
58,4176435,KRS185+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
59,4176436,KRS186+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
60,4176437,KRS187+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
61,4176438,KRS188+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
62,4176439,KRS189+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
63,4176440,KRS190+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
64,4176441,KRS191+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
65,4176442,KRS192+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
66,4176443,KRS193+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
67,4176444,KRS194+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
68,4176445,KRS195+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
69,4176446,KRS196+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
70,4176447,KRS197+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
71,4176448,KRS198+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
72,4176449,KRS199+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
73,4176450,KRS200+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
74,4176451,KRS201+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
75,4176452,KRS202+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
76,4176453,KRS203+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
77,4176454,KRS204+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
78,4176455,KRS205+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
79,4176456,KRS206+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
80,4176457,KRS207+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
81,4176458,KRS208+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
82,4176459,KRS209+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
83,4176460,KRS210+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
84,4176461,KRS211+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
85,4176462,KRS212+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
86,4176463,KRS213+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
87,4176464,KRS214+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
88,4176465,KRS215+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
89,4176466,KRS216+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
90,4176467,KRS217+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
91,4176468,KRS218+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
92,4176469,KRS219+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
93,4176470,KRS220+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
94,4176471,KRS221+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
95,4176472,KRS222+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
96,4176473,KRS223+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
97,4176474,KRS224+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
98,4176475,KRS225+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
99,4176476,KRS226+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
100,4176477,KRS227+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
101,4176478,KRS228+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
102,4176479,KRS229+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
103,4176480,KRS230+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
104,4176481,KRS231+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
105,4176482,KRS232+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
106,4176483,KRS233+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
107,4176484,KRS234+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
108,4176485,KRS235+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
109,4176486,KRS236+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
110,4176487,KRS237+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
111,4176488,KRS238+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
112,4176489,KRS239+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
113,4176490,KRS240+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
114,4176491,KRS241+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
115,4176492,KRS242+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
116,4176493,KRS243+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
117,4176494,KRS244+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
118,4176495,KRS245+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
119,4176496,KRS246+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
120,4176497,KRS247+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
121,4176498,KRS248+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
122,4176499,KRS249+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
123,4176500,KRS250+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
124,4176501,KRS251+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
125,4176502,KRS252+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
126,4176503,KRS253+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
127,4176504,KRS254+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
128,4176505,KRS255+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
129,4176506,KRS256+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
130,4176507,KRS257+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
131,4176508,KRS258+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
132,4176509,KRS259+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
133,4176510,KRS260+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
134,4176511,KRS261+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
135,4176512,KRS262+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
136,4176513,KRS263+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
137,4176514,KRS264+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
138,4176515,KRS265+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
139,4176516,KRS266+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
140,4176517,KRS267+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
141,4176518,KRS268+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
142,4176519,KRS269+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
143,4176520,KRS270+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
144,4176521,KRS271+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
145,4176522,KRS272^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
146,4176523,KRS273^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
147,4176524,KRS274^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
148,4176525,KRS275^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
149,4176526,KRS276^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
150,4176527,KRS277^7.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
151,4176528,KRS278-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
152,4176529,KRS278+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
153,4176530,KRS279-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
154,4176531,KRS279+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
155,4176532,KRS280-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
156,4176533,KRS280+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
157,4176534,KRS281-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
158,4176535,KRS281+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
159,4176536,KRS282-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
160,4176537,KRS282+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
161,4176538,KRS283+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
162,4176539,KRS284-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
163,4176540,KRS284+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
164,4176541,KRS285-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
165,4176542,KRS285+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
166,4176543,KRS286-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
167,4176544,KRS286+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
168,4176545,KRS287-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
169,4176546,KRS287+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
170,4176547,KRS288-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
171,4176548,KRS288+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
172,4176549,KRS289-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
173,4176550,KRS289+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
174,4176551,KRS290-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
175,4176552,KRS290+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
176,4176553,KRS291-1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
177,4176554,KRS291+1.p,85411,jannis_gehring/TPTP v9.0.0/Problems/KRS
178,4176555,LAT001-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
179,4176556,LAT002-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
180,4176557,LAT003-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
181,4176558,LAT004-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
182,4176559,LAT005-10.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
183,4176560,LAT005-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
184,4176561,LAT005-2.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
185,4176562,LAT005-3.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
186,4176563,LAT005-4.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
187,4176564,LAT005-5.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
188,4176565,LAT005-6.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
189,4176566,LAT006-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
190,4176567,LAT007-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
191,4176568,LAT008-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
192,4176569,LAT009-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
193,4176570,LAT010-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
194,4176571,LAT011-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
195,4176572,LAT012-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
196,4176573,LAT013-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
197,4176574,LAT014-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
198,4176575,LAT015-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
199,4176576,LAT016-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
200,4176577,LAT017-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
201,4176578,LAT018-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
202,4176579,LAT019-1.p,85412,jannis_gehring/TPTP v9.0.0/Problems/LAT
